"Data file recorded 2023/8/27  12:31:48"
" time  hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15"
# Hello World 7/11/23 from main()
# LED0 initialized PA5
# led_init: success. Wait for LED blink
# Starting print thread
# printq access blocked by other thread. msg = # printq test message- hello from main.c 
# Clock cycles per second 96000000
 # End DAC init. Using PA4. DAC_MAX=4095 and DAC channel 1
# End ADC init PB0 PB1 PC0 PC1 PC2 PC3 PC4 PC5
# End PWM init. TIM1 PA8 PA9 PA10 PA11, TIM4 PB6 PB7 PB8 PB9, PWM13 PA6, PWM14 PA7
# End HX711 init TIM2 Ch4 PB2 as PD_SCK and PB5 as DOUT input
# End qdec inputs init. TIM3 PC6 PC7, TIM5 PA0 PA1 (32 bit)
# Starting heartbeat thread
# Starting uart input thread
# Starting hx711 thread
# Starting control thread
# Starting print_state thread
# Starting uart input thread: at tick 0.331803 
 # Starting hx711_thread
 # Starting print_state thread: at tick 32501203 (5000 ms PRNWAIT)
 #      t=,    hx711, qdec3, qdec5, adc8,  adc9, adc10, adc11, adc12, adc13, adc14, adc15  
    0.0000,        0,     0,     0,    0,     0,     0,     0,     0,     0,     0,     0
 # Starting control thread: at tick 41454889 
 # Input_thread count 31 time 6.801630 cmd = PFRQ1 value = 653
 # Input_thread count 32 time 6.816034 cmd = PFRQ2 value = -653
    6.8645,        0,     0,     0, 1296,  1036,  1402,  1399,  1508,  2610,  1791,  1791
 # Input_thread count 33 time 6.919635 cmd = PFRQ1 value = 632
 # Input_thread count 34 time 6.935134 cmd = PFRQ2 value = -632
    6.9646,        0,     0,     0, 1425,  1256,  1532,  1504,  1551,  2622,  2114,  2114
 # Input_thread count 35 time 6.986928 cmd = PFRQ1 value = 611
 # Input_thread count 36 time 7.001334 cmd = PFRQ2 value = -611
    7.0680,        0,     0,     0,  902,  1006,   713,   699,   560,   794,  1212,  1212
 # Input_thread count 37 time 7.102629 cmd = PFRQ1 value = 590
 # Input_thread count 38 time 7.118128 cmd = PFRQ2 value = -590
    7.1681,        0,     0,     0,  963,   852,   705,   685,   528,   662,   990,   990
 # Input_thread count 39 time 7.202932 cmd = PFRQ1 value = 569
 # Input_thread count 40 time 7.217334 cmd = PFRQ2 value = -569
    7.2704,        0,     0,     0, 1008,  1112,  1009,   982,   926,   576,  1024,  1024
 # Input_thread count 41 time 7.317534 cmd = PFRQ1 value = 548
 # Input_thread count 42 time 7.333034 cmd = PFRQ2 value = -548
    7.3706,        0,     0,     0,  857,   789,   834,   888,   904,   552,   698,   698
 # Input_thread count 43 time 7.402734 cmd = PFRQ1 value = 527
 # Input_thread count 44 time 7.418232 cmd = PFRQ2 value = -527
    7.4741,        0,     0,     0,  962,   943,  1024,  1051,  1057,   627,   862,   862
 # Input_thread count 45 time 7.518434 cmd = PFRQ1 value = 505
 # Input_thread count 46 time 7.535028 cmd = PFRQ2 value = -505
    7.5753,        0,     0,     0, 1188,  1449,  1196,  1184,  1166,   704,  1000,  1000
 # Input_thread count 47 time 7.619853 cmd = PFRQ1 value = 484
 # Input_thread count 48 time 7.635334 cmd = PFRQ2 value = -484
    7.6765,        0,     0,     0, 1040,  1130,  1093,  1152,  1149,   728,   933,   933
 # Input_thread count 49 time 7.720132 cmd = PFRQ1 value = 463
 # Input_thread count 50 time 7.735633 cmd = PFRQ2 value = -463
    7.7777,        0,     0,     0, 1124,  1145,  1152,  1139,  1160,   715,   978,   978
 # Input_thread count 51 time 7.820434 cmd = PFRQ1 value = 441
 # Input_thread count 52 time 7.835934 cmd = PFRQ2 value = -441
    7.8800,        0,     0,     0, 1406,  1379,  1707,  1693,  1838,  1946,  1537,  1537
 # Input_thread count 53 time 7.906528 cmd = PFRQ1 value = 420
 # Input_thread count 54 time 7.920935 cmd = PFRQ2 value = -420
    7.9801,        0,     0,     0, 1292,  1158,  1583,  1635,  1860,  2047,  1396,  1396
 # Input_thread count 55 time 8.022228 cmd = PFRQ1 value = 399
 # Input_thread count 56 time 8.037729 cmd = PFRQ2 value = -399
    8.0824,        0,     0,     0, 1598,  1674,  1852,  1809,  1882,  2742,  2134,  2134
 # Input_thread count 57 time 8.121434 cmd = PFRQ1 value = 378
 # Input_thread count 58 time 8.138033 cmd = PFRQ2 value = -378
    8.1836,        0,     0,     0, 1314,  1079,  1413,  1422,  1515,  2614,  1936,  1936
 # Input_thread count 59 time 8.207434 cmd = PFRQ1 value = 357
 # Input_thread count 60 time 8.222931 cmd = PFRQ2 value = -357
    8.2859,        0,     0,     0, 1072,   996,   895,   895,   841,  1812,  1403,  1403
 # Input_thread count 61 time 8.323134 cmd = PFRQ1 value = 336
 # Input_thread count 62 time 8.338634 cmd = PFRQ2 value = -336
    8.3871,        0,     0,     0, 1007,  1026,   710,   699,   547,   862,  1175,  1175
 # Input_thread count 63 time 8.409229 cmd = PFRQ1 value = 315
 # Input_thread count 64 time 8.423634 cmd = PFRQ2 value = -315
    8.4872,        0,     0,     0,  827,   654,   597,   631,   524,   741,   890,   890
 # Input_thread count 65 time 8.524931 cmd = PFRQ1 value = 294
 # Input_thread count 66 time 8.540430 cmd = PFRQ2 value = -294
    8.5884,        0,     0,     0,  960,  1121,   828,   798,   695,   530,   984,   984
 # Input_thread count 67 time 8.625232 cmd = PFRQ1 value = 274
 # Input_thread count 68 time 8.640733 cmd = PFRQ2 value = -274
    8.6897,        0,     0,     0,  870,   911,   893,   932,   905,   552,   801,   801
 # Input_thread count 69 time 8.725534 cmd = PFRQ1 value = 253
 # Input_thread count 70 time 8.741034 cmd = PFRQ2 value = -253
    8.7909,        0,     0,     0, 1019,  1038,  1044,  1031,  1010,   606,   900,   900
 # Input_thread count 71 time 8.810434 cmd = PFRQ1 value = 232
 # Input_thread count 72 time 8.825934 cmd = PFRQ2 value = -232
    8.8932,        0,     0,     0, 1097,  1181,  1099,  1117,  1118,   663,   952,   952
 # Input_thread count 73 time 8.937134 cmd = PFRQ1 value = 212
 # Input_thread count 74 time 8.952731 cmd = PFRQ2 value = -212
    8.9944,        0,     0,     0,  997,  1021,  1060,  1115,  1121,   668,   866,   866
 # Input_thread count 75 time 9.041934 cmd = PFRQ1 value = 192
 # Input_thread count 76 time 9.057434 cmd = PFRQ2 value = -192
    9.0956,        0,     0,     0, 1152,  1124,  1100,  1153,  1151,   717,   991,   991
 # Input_thread count 77 time 9.129034 cmd = PFRQ1 value = 172
 # Input_thread count 78 time 9.144530 cmd = PFRQ2 value = -172
    9.1968,        0,     0,     0, 1017,  1121,  1077,  1147,  1172,   710,   901,   901
 # Input_thread count 79 time 9.228229 cmd = PFRQ1 value = 152
 # Input_thread count 80 time 9.242632 cmd = PFRQ2 value = -152
    9.2969,        0,     0,     0, 1143,  1165,  1130,  1176,  1158,   699,   982,   982
 # Input_thread count 81 time 9.327432 cmd = PFRQ1 value = 132
 # Input_thread count 82 time 9.355027 cmd = PFRQ2 value = -132
    9.3992,        0,     0,     0, 1344,  1292,  1670,  1668,  1881,  2101,  1557,  1557
 # Input_thread count 83 time 9.443130 cmd = PFRQ1 value = 112
 # Input_thread count 84 time 9.458730 cmd = PFRQ2 value = -112
    9.5004,        0,     0,     0, 1442,  1311,  1762,  1810,  2051,  2761,  1775,  1775
 # Input_thread count 85 time 9.542436 cmd = PFRQ1 value = 93
 # Input_thread count 86 time 9.562333 cmd = PFRQ2 value = -93
    9.6016,        0,     0,     0, 1555,  1550,  1717,  1705,  1810,  2703,  2189,  2189
 # Input_thread count 87 time 9.628434 cmd = PFRQ1 value = 73
 # Input_thread count 88 time 9.643931 cmd = PFRQ2 value = -73
    9.7018,        0,     0,     0, 1348,  1010,  1501,  1600,  1721,  2670,  1864,  1864
 # Input_thread count 89 time 9.744131 cmd = PFRQ1 value = 55
 # Input_thread count 90 time 9.759629 cmd = PFRQ2 value = -55
    9.8052,        0,     0,     0, 1047,   832,   834,   829,   740,  1570,  1262,  1262
 # Input_thread count 91 time 9.829032 cmd = PFRQ1 value = 35
 # Input_thread count 92 time 9.844530 cmd = PFRQ2 value = -35
    9.9075,        0,     0,     0,  928,   810,   748,   756,   681,   518,   896,   896
 # Input_thread count 93 time 9.944734 cmd = PFRQ1 value = 16
 # Input_thread count 94 time 9.960234 cmd = PFRQ2 value = -16
   10.0087,        0,     0,     0,  887,   958,   922,   917,   895,   583,   854,   854
 # Input_thread count 95 time 10.046228 cmd = PFRQ1 value = -1
 # Input_thread count 96 time 10.060634 cmd = PFRQ2 value = 1
   10.1099,        0,     0,     0,  980,   968,   982,  1018,  1020,   611,   901,   901
 # Input_thread count 97 time 10.146528 cmd = PFRQ1 value = -19
 # Input_thread count 98 time 10.160934 cmd = PFRQ2 value = 19
   10.2111,        0,     0,     0, 1106,  1470,  1206,  1136,  1117,   654,  1072,  1072
 # Input_thread count 99 time 10.245734 cmd = PFRQ1 value = -37
 # Input_thread count 100 time 10.271133 cmd = PFRQ2 value = 37
   10.3124,        0,     0,     0,  970,   994,  1005,  1077,  1084,   633,   881,   881
 # Input_thread count 101 time 10.346034 cmd = PFRQ1 value = -55
 # Input_thread count 102 time 10.361534 cmd = PFRQ2 value = 55
   10.4136,        0,     0,     0, 1109,  1137,  1151,  1166,  1136,   670,   961,   961
 # Input_thread count 103 time 10.446333 cmd = PFRQ1 value = -73
 # Input_thread count 104 time 10.461834 cmd = PFRQ2 value = 73
   10.5159,        0,     0,     0, 1145,  1225,  1125,  1186,  1167,   701,  1092,  1092
 # Input_thread count 105 time 10.543327 cmd = PFRQ1 value = -90
 # Input_thread count 106 time 10.557837 cmd = PFRQ2 value = 90
   10.6160,        0,     0,     0, 1088,   931,  1083,  1132,  1140,   702,   949,   949
 # Input_thread count 107 time 10.662434 cmd = PFRQ1 value = -107
 # Input_thread count 108 time 10.679034 cmd = PFRQ2 value = 107
   10.7173,        0,     0,     0, 1318,  1342,  1506,  1529,  1588,  1329,  1355,  1355
 # Input_thread count 109 time 10.749534 cmd = PFRQ1 value = -123
 # Input_thread count 110 time 10.765034 cmd = PFRQ2 value = 123
   10.8185,        0,     0,     0, 1402,  1445,  1764,  1778,  1978,  2255,  1617,  1617
 # Input_thread count 111 time 10.848728 cmd = PFRQ1 value = -140
 # Input_thread count 112 time 10.864236 cmd = PFRQ2 value = 140
   10.9197,        0,     0,     0, 1568,  1326,  1841,  1863,  2067,  2788,  2043,  2043
 # Input_thread count 113 time 10.966634 cmd = PFRQ1 value = -156
 # Input_thread count 114 time 10.982134 cmd = PFRQ2 value = 156
   11.0199,        0,     0,     0, 1436,  1378,  1768,  1788,  1986,  2772,  1924,  1924
 # Input_thread count 115 time 11.064732 cmd = PFRQ1 value = -172
 # Input_thread count 116 time 11.086834 cmd = PFRQ2 value = 172
   11.1211,        0,     0,     0, 1542,  1268,  1637,  1634,  1684,  2658,  2028,  2028
 # Input_thread count 117 time 11.152934 cmd = PFRQ1 value = -187
 # Input_thread count 118 time 11.168604 cmd = PFRQ2 value = 187
   11.2225,        0,     0,     0, 1439,  1201,  1366,  1373,  1396,  2584,  1979,  1979
 # Input_thread count 119 time 11.265534 cmd = PFRQ1 value = -203
 # Input_thread count 120 time 11.281034 cmd = PFRQ2 value = 203
   11.3237,        0,     0,     0, 1155,   958,   978,   986,   902,  1960,  1629,  1629
 # Input_thread count 121 time 11.365834 cmd = PFRQ1 value = -217
 # Input_thread count 122 time 11.381333 cmd = PFRQ2 value = 217
   11.4249,        0,     0,     0, 1048,  1110,   805,   756,   614,  1074,  1234,  1234
 # Input_thread count 123 time 11.466135 cmd = PFRQ1 value = -232
 # Input_thread count 124 time 11.481635 cmd = PFRQ2 value = 232
   11.5261,        0,     0,     0,  914,   842,   700,   717,   600,   513,   987,   987
 # Input_thread count 125 time 11.551033 cmd = PFRQ1 value = -246
 # Input_thread count 126 time 11.566533 cmd = PFRQ2 value = 246
   11.6284,        0,     0,     0,  885,   946,   938,   968,   975,   589,   844,   844
 # Input_thread count 127 time 11.667828 cmd = PFRQ1 value = -260
 # Input_thread count 128 time 11.683328 cmd = PFRQ2 value = 260
   11.7308,        0,     0,     0,  933,   988,  1007,  1073,  1067,   601,   862,   862
 # Input_thread count 129 time 11.767232 cmd = PFRQ1 value = -274
 # Input_thread count 130 time 11.782735 cmd = PFRQ2 value = 274
   11.8310,        0,     0,     0, 1029,  1068,  1088,  1092,  1090,   625,   946,   946
 # Input_thread count 131 time 11.852134 cmd = PFRQ1 value = -287
 # Input_thread count 132 time 11.867635 cmd = PFRQ2 value = 287
   11.9333,        0,     0,     0, 1088,   997,  1123,  1157,  1132,   670,  1037,  1037
 # Input_thread count 133 time 11.970035 cmd = PFRQ1 value = -300
 # Input_thread count 134 time 11.985534 cmd = PFRQ2 value = 300
   12.0345,        0,     0,     0,  958,   945,  1026,  1090,  1101,   650,   746,   746
 # Input_thread count 135 time 12.068134 cmd = PFRQ1 value = -313
 # Input_thread count 136 time 12.083632 cmd = PFRQ2 value = 313
   12.1346,        0,     0,     0, 1040,  1036,  1058,  1099,  1125,   677,   911,   911
 # Input_thread count 137 time 12.171731 cmd = PFRQ1 value = -325
 # Input_thread count 138 time 12.187232 cmd = PFRQ2 value = 325
   12.2370,        0,     0,     0, 1293,  1074,  1573,  1589,  1781,  1830,  1409,  1409
 # Input_thread count 139 time 12.289634 cmd = PFRQ1 value = -337
 # Input_thread count 140 time 12.306234 cmd = PFRQ2 value = 337
   12.3393,        0,     0,     0, 1420,  1136,  1676,  1707,  1859,  2715,  1812,  1812
 # Input_thread count 141 time 12.369203 cmd = PFRQ1 value = -348
 # Input_thread count 142 time 12.383635 cmd = PFRQ2 value = 348
   12.4395,        0,     0,     0, 1569,  1336,  1750,  1764,  1888,  2749,  2085,  2085
 # Input_thread count 143 time 12.469531 cmd = PFRQ1 value = -359
 # Input_thread count 144 time 12.483934 cmd = PFRQ2 value = 359
   12.5418,        0,     0,     0, 1364,  1367,  1339,  1318,  1334,  2555,  2120,  2120
 # Input_thread count 145 time 12.569835 cmd = PFRQ1 value = -370
 # Input_thread count 146 time 12.585331 cmd = PFRQ2 value = 370
   12.6430,        0,     0,     0, 1131,   900,   905,   919,   826,  1839,  1456,  1456
 # Input_thread count 147 time 12.670130 cmd = PFRQ1 value = -380
 # Input_thread count 148 time 12.684533 cmd = PFRQ2 value = 380
   12.7453,        0,     0,     0,  921,   946,   691,   702,   590,   510,   930,   930
 # Input_thread count 149 time 12.769335 cmd = PFRQ1 value = -390
 # Input_thread count 150 time 12.784833 cmd = PFRQ2 value = 390
   12.8465,        0,     0,     0,  845,   733,   849,   871,   864,   563,   813,   813
 # Input_thread count 151 time 12.885135 cmd = PFRQ1 value = -399
 # Input_thread count 152 time 12.907234 cmd = PFRQ2 value = 399
   12.9466,        0,     0,     0,  952,   839,   937,   904,   864,   560,   900,   900
 # Input_thread count 153 time 12.992029 cmd = PFRQ1 value = -408
 # Input_thread count 154 time 13.007535 cmd = PFRQ2 value = 408
   13.0478,        0,     0,     0,  894,  1026,   974,   999,  1007,   608,   840,   840
 # Input_thread count 155 time 13.070333 cmd = PFRQ1 value = -417
 # Input_thread count 156 time 13.085834 cmd = PFRQ2 value = 417
   13.1490,        0,     0,     0,  998,   926,  1034,  1034,  1039,   594,   918,   918
 # Input_thread count 157 time 13.170634 cmd = PFRQ1 value = -425
 # Input_thread count 158 time 13.186132 cmd = PFRQ2 value = 425
   13.2513,        0,     0,     0, 1076,  1144,  1129,  1123,  1120,   654,  1058,  1058
 # Input_thread count 159 time 13.275333 cmd = PFRQ1 value = -433
 # Input_thread count 160 time 13.290830 cmd = PFRQ2 value = 433
   13.3536,        0,     0,     0,  956,   988,  1040,  1071,  1101,   648,   839,   839
 # Input_thread count 161 time 13.386735 cmd = PFRQ1 value = -441
 # Input_thread count 162 time 13.407733 cmd = PFRQ2 value = 441
   13.4537,        0,     0,     0, 1104,  1007,  1152,  1147,  1156,   658,  1046,  1046
 # Input_thread count 163 time 13.488141 cmd = PFRQ1 value = -448
 # Input_thread count 164 time 13.508036 cmd = PFRQ2 value = 448
   13.5549,        0,     0,     0, 1113,  1170,  1202,  1240,  1307,   879,   975,   975
 # Input_thread count 165 time 13.586235 cmd = PFRQ1 value = -454
 # Input_thread count 166 time 13.608334 cmd = PFRQ2 value = 454
   13.6573,        0,     0,     0, 1398,  1137,  1808,  1817,  2058,  2699,  1682,  1682
 # Input_thread count 167 time 13.687631 cmd = PFRQ1 value = -460
 # Input_thread count 168 time 13.708634 cmd = PFRQ2 value = 460
   13.7575,        0,     0,     0, 1552,  1467,  1856,  1898,  2114,  2813,  2022,  2022
 # Input_thread count 169 time 13.809934 cmd = PFRQ1 value = -466
 # Input_thread count 170 time 13.825434 cmd = PFRQ2 value = 466
   13.8576,        0,     0,     0, 1455,  1174,  1795,  1786,  2052,  2776,  1777,  1777
 # Input_thread count 171 time 13.910236 cmd = PFRQ1 value = -471
 # Input_thread count 172 time 13.926829 cmd = PFRQ2 value = 471
   13.9599,        0,     0,     0, 1524,  1304,  1540,  1534,  1570,  2625,  2034,  2034
 # Input_thread count 173 time 13.988635 cmd = PFRQ1 value = -476
 # Input_thread count 174 time 14.010735 cmd = PFRQ2 value = 476
   14.0601,        0,     0,     0, 1389,  1158,  1426,  1435,  1455,  2587,  1923,  1923
 # Input_thread count 175 time 14.088935 cmd = PFRQ1 value = -480
 # Input_thread count 176 time 14.111032 cmd = PFRQ2 value = 480
   14.1624,        0,     0,     0, 1051,   965,   808,   818,   704,  1475,  1248,  1248
 # Input_thread count 177 time 14.211229 cmd = PFRQ1 value = -484
 # Input_thread count 178 time 14.225635 cmd = PFRQ2 value = 484
   14.2636,        0,     0,     0,  936,   809,   654,   686,   528,   589,  1002,  1002
 # Input_thread count 179 time 14.311533 cmd = PFRQ1 value = -488
 # Input_thread count 180 time 14.328128 cmd = PFRQ2 value = 488
   14.3637,        0,     0,     0,  859,   849,   640,   639,   508,   531,   781,   781
 # Input_thread count 181 time 14.412930 cmd = PFRQ1 value = -491
 # Input_thread count 182 time 14.428431 cmd = PFRQ2 value = 491
   14.4649,        0,     0,     0,  960,   885,   903,   850,   792,   536,   971,   971
 # Input_thread count 183 time 14.490133 cmd = PFRQ1 value = -493
 # Input_thread count 184 time 14.512335 cmd = PFRQ2 value = 493
   14.5661,        0,     0,     0,  840,   852,   908,   912,   927,   565,   728,   728
 # Input_thread count 185 time 14.612535 cmd = PFRQ1 value = -495
 # Input_thread count 186 time 14.628035 cmd = PFRQ2 value = 495
   14.6673,        0,     0,     0, 1002,  1064,  1058,  1049,  1052,   595,   925,   925
 # Input_thread count 187 time 14.690835 cmd = PFRQ1 value = -497
 # Input_thread count 188 time 14.712934 cmd = PFRQ2 value = 497
   14.7685,        0,     0,     0,  913,   968,  1000,  1031,  1051,   592,   836,   836
 # Input_thread count 189 time 14.813133 cmd = PFRQ1 value = -498
 # Input_thread count 190 time 14.828634 cmd = PFRQ2 value = 498
   14.8686,        0,     0,     0, 1031,  1135,  1107,  1083,  1080,   615,  1030,  1030
 # Input_thread count 191 time 14.913435 cmd = PFRQ1 value = -499
 # Input_thread count 192 time 14.928935 cmd = PFRQ2 value = 499
   14.9698,        0,     0,     0,  896,   780,   985,  1013,  1070,   614,   840,   840
 # Input_thread count 193 time 14.991734 cmd = PFRQ1 value = -499
 # Input_thread count 194 time 15.013932 cmd = PFRQ2 value = 499
   15.0710,        0,     0,     0, 1068,  1096,  1111,  1130,  1130,   652,   952,   952
 # Input_thread count 195 time 15.092128 cmd = PFRQ1 value = -499
 # Input_thread count 196 time 15.114233 cmd = PFRQ2 value = 499
   15.1733,        0,     0,     0, 1125,  1212,  1199,  1198,  1186,   709,  1104,  1104
 # Input_thread count 197 time 15.214428 cmd = PFRQ1 value = -499
 # Input_thread count 198 time 15.228833 cmd = PFRQ2 value = 499
   15.2745,        0,     0,     0, 1225,  1130,  1442,  1453,  1625,  1477,  1141,  1141
 # Input_thread count 199 time 15.329035 cmd = PFRQ1 value = -498
 # Input_thread count 200 time 15.344542 cmd = PFRQ2 value = 498
   15.3769,        0,     0,     0, 1480,  1464,  1804,  1786,  1953,  2752,  1854,  1854
 # Input_thread count 201 time 15.413929 cmd = PFRQ1 value = -496
 # Input_thread count 202 time 15.429429 cmd = PFRQ2 value = 496
   15.4781,        0,     0,     0, 1531,  1518,  1613,  1617,  1668,  2647,  2156,  2156
 # Input_thread count 203 time 15.529634 cmd = PFRQ1 value = -494
 # Input_thread count 204 time 15.545135 cmd = PFRQ2 value = 494
   15.5805,        0,     0,     0, 1324,  1305,  1138,  1115,  1017,  2122,  1861,  1861
 # Input_thread count 205 time 15.630128 cmd = PFRQ1 value = -492
 # Input_thread count 206 time 15.645629 cmd = PFRQ2 value = 492
   15.6806,        0,     0,     0, 1313,  1088,  1084,  1054,   944,  1982,  1674,  1674
 # Input_thread count 207 time 15.716130 cmd = PFRQ1 value = -489
 # Input_thread count 208 time 15.731630 cmd = PFRQ2 value = 489
   15.7818,        0,     0,     0, 1028,  1081,   821,   814,   620,  1104,  1205,  1205
 # Input_thread count 209 time 15.829634 cmd = PFRQ1 value = -486
 # Input_thread count 210 time 15.845132 cmd = PFRQ2 value = 486
   15.8830,        0,     0,     0,  836,   672,   656,   680,   570,   486,   741,   741
 # Input_thread count 211 time 15.928835 cmd = PFRQ1 value = -482
 # Input_thread count 212 time 15.944333 cmd = PFRQ2 value = 482
   15.9842,        0,     0,     0, 1012,  1105,   967,   965,   907,   562,  1004,  1004
 # Input_thread count 213 time 16.014833 cmd = PFRQ1 value = -478
 # Input_thread count 214 time 16.029234 cmd = PFRQ2 value = 478
   16.0866,        0,     0,     0, 1026,  1118,  1099,  1077,  1062,   618,  1033,  1033
 # Input_thread count 215 time 16.128534 cmd = PFRQ1 value = -474
 # Input_thread count 216 time 16.145134 cmd = PFRQ2 value = 474
   16.1867,        0,     0,     0,  979,   874,  1036,  1028,  1049,   592,   918,   918
 # Input_thread count 217 time 16.229935 cmd = PFRQ1 value = -469
 # Input_thread count 218 time 16.245434 cmd = PFRQ2 value = 469
   16.2879,        0,     0,     0,  968,  1291,  1069,  1057,  1075,   612,   896,   896
 # Input_thread count 219 time 16.313734 cmd = PFRQ1 value = -463
 # Input_thread count 220 time 16.329235 cmd = PFRQ2 value = 463
   16.3892,        0,     0,     0,  912,   895,  1001,  1012,  1072,   611,   872,   872
